

Software Version	2.01.14



Experiment File Path:	C:\Users\Public\Documents\Experiments\Venus_96wellgrowthcurve_170301_140038.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\96wellgrowthcurve.prt



Plate Number	Plate 1
Date	3/1/2017
Time	2:00:38 PM
Reader Type:	Synergy Mx
Reader Serial Number:	219512
Reading Type	Reader

Procedure Details

Plate Type	48 WELL PLATE
Set Temperature	Setpoint 25°C
	Preheat before moving to next step
Shake	Medium, 0:10 (MM:SS)
Read	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
Start Kinetic	Runtime 120:00:00 (HH:MM:SS), Interval 0:30:00, 241 Reads
    Shake	Slow, Continuous
    Read	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
End Kinetic	

Layout
	1	2	3	4	5	6	7	8
A	SPL1	SPL9	SPL17	SPL25	SPL33	SPL41	SPL49	SPL57	Well ID
B	SPL2	SPL10	SPL18	SPL26	SPL34	SPL42	SPL50	SPL58	Well ID
C	SPL3	SPL11	SPL19	SPL27	SPL35	SPL43	SPL51	SPL59	Well ID
D	SPL4	SPL12	SPL20	SPL28	SPL36	SPL44	SPL52	SPL60	Well ID
E	SPL5	SPL13	SPL21	SPL29	SPL37	SPL45	SPL53	SPL61	Well ID
F	SPL6	SPL14	SPL22	SPL30	SPL38	SPL46	SPL54	SPL62	Well ID



Actual Temperature:	22.6

Results
	1	2	3	4	5	6	7	8
A	0.037	0.035	0.035	0.036	0.036	0.037	0.036	0.036	Read 1:600
B	0.038	0.038	0.038	0.037	0.039	0.038	0.136	0.035	Read 1:600
C	0.036	0.059	0.060	0.059	0.061	0.038	0.110	0.035	Read 1:600
D	0.036	0.072	0.061	0.100	0.068	0.039	0.088	0.037	Read 1:600
E	0.036	0.117	0.069	0.084	0.103	0.039	0.087	0.038	Read 1:600
F	0.038	0.037	0.038	0.037	0.036	0.036	0.036	0.038	Read 1:600

Read 2:600

Time	T° Read 2:600	A1	A2	A3	A4	A5	A6	A7	A8	B1	B2	B3	B4	B5	B6	B7	B8	C1	C2	C3	C4	C5	C6	C7	C8	D1	D2	D3	D4	D5	D6	D7	D8	E1	E2	E3	E4	E5	E6	E7	E8	F1	F2	F3	F4	F5	F6	F7	F8
91:59:43	25.1	0.035	0.034	0.035	0.035	0.036	0.036	0.035	0.035	0.035	0.037	0.038	0.037	0.039	0.037	1.027	0.033	0.036	0.060	0.061	0.063	0.066	0.038	1.042	0.035	0.033	0.962	0.997	1.029	1.014	0.038	1.020	0.035	0.034	0.948	0.986	1.002	0.988	0.038	0.992	0.036	0.036	0.034	0.036	0.035	0.035	0.034	0.034	0.036
92:29:43	25.1	0.035	0.034	0.035	0.035	0.036	0.036	0.035	0.034	0.035	0.037	0.038	0.037	0.039	0.037	1.027	0.033	0.036	0.060	0.061	0.063	0.066	0.038	1.040	0.035	0.032	0.961	0.996	1.027	1.014	0.038	1.018	0.035	0.034	0.946	0.985	1.000	0.987	0.038	0.991	0.036	0.036	0.034	0.035	0.035	0.035	0.034	0.034	0.036
92:59:43	25.1	0.035	0.034	0.035	0.035	0.036	0.036	0.035	0.034	0.035	0.037	0.038	0.037	0.039	0.037	1.025	0.033	0.036	0.060	0.061	0.063	0.066	0.038	1.040	0.035	0.032	0.959	0.995	1.026	1.012	0.038	1.018	0.035	0.034	0.945	0.983	0.999	0.986	0.037	0.989	0.036	0.036	0.034	0.036	0.035	0.035	0.034	0.035	0.036
93:29:43	25.1	0.035	0.034	0.035	0.035	0.036	0.036	0.035	0.034	0.036	0.037	0.038	0.037	0.039	0.037	1.025	0.033	0.036	0.060	0.061	0.063	0.066	0.038	1.039	0.035	0.032	0.958	0.995	1.026	1.011	0.038	1.018	0.035	0.034	0.944	0.982	0.998	0.984	0.037	0.988	0.036	0.036	0.034	0.036	0.035	0.035	0.034	0.035	0.036
93:59:43	25.1	0.035	0.034	0.035	0.035	0.036	0.036	0.035	0.034	0.035	0.037	0.038	0.037	0.039	0.037	1.024	0.033	0.036	0.060	0.061	0.063	0.066	0.038	1.038	0.035	0.032	0.957	0.993	1.025	1.010	0.038	1.016	0.035	0.034	0.942	0.980	0.997	0.983	0.037	0.986	0.036	0.036	0.034	0.036	0.035	0.035	0.034	0.035	0.036
94:29:43	25.1	0.035	0.034	0.035	0.035	0.036	0.036	0.035	0.034	0.035	0.037	0.038	0.037	0.039	0.037	1.023	0.033	0.036	0.060	0.061	0.063	0.066	0.038	1.038	0.035	0.032	0.956	0.992	1.023	1.010	0.038	1.015	0.035	0.034	0.940	0.979	0.995	0.982	0.037	0.984	0.036	0.036	0.034	0.035	0.035	0.035	0.034	0.035	0.035
94:59:43	25.1	0.035	0.034	0.035	0.035	0.035	0.036	0.035	0.034	0.035	0.037	0.037	0.037	0.039	0.037	1.022	0.033	0.036	0.059	0.061	0.063	0.066	0.038	1.037	0.035	0.032	0.954	0.991	1.023	1.008	0.038	1.014	0.035	0.034	0.938	0.977	0.994	0.981	0.037	0.983	0.036	0.036	0.034	0.035	0.035	0.035	0.034	0.035	0.035
0:00:00																																																	
0:00:00																																																	
0:00:00																																																	
0:00:00																																																	
0:00:00																																																	
0:00:00																																																	
0:00:00																																																	
0:00:00																																																	
0:00:00																																																	
0:00:00																																																	
0:00:00																																																	
0:00:00																																																	
0:00:00																																																	
0:00:00																																																	
0:00:00																																																	
0:00:00																																																	
0:00:00																																																	
0:00:00																																																	
0:00:00																																																	
0:00:00																																																	
0:00:00																																																	
0:00:00																																																	
0:00:00																																																	
0:00:00																																																	
0:00:00																																																	
0:00:00																																																	
0:00:00																																																	
0:00:00																																																	
0:00:00																																																	
0:00:00																																																	
0:00:00																																																	
0:00:00																																																	
0:00:00																																																	
0:00:00																																																	
0:00:00																																																	
0:00:00																																																	
0:00:00																																																	
0:00:00																																																	
0:00:00																																																	
0:00:00																																																	
0:00:00																																																	
0:00:00																																																	
0:00:00																																																	
0:00:00																																																	
0:00:00																																																	
0:00:00																																																	
0:00:00																																																	
0:00:00																																																	
0:00:00																																																	
0:00:00																																																	
0:00:00																																																	

Results
	1	2	3	4	5	6	7	8
A	-0.027	-0.010	-0.010	0.010	0.010	-0.010	-0.010	-0.013	Max V [Read 2:600]
	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	R-Squared [Read 2:600]
	0:44:43	52:44:43	71:14:43	51:44:43	53:14:43	49:44:43	54:44:43	21:14:43	t at Max V [Read 2:600]
	0:29:43	51:59:43	70:29:43	52:59:43	54:19:43	48:39:43	53:49:43	20:22:13	Lagtime [Read 2:600]
B	-0.010	-0.010	-0.010	-0.010	-0.013	-0.007	2.593	-0.010	Max V [Read 2:600]
	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	R-Squared [Read 2:600]
	61:44:43	14:14:43	21:14:43	11:44:43	61:44:43	68:14:43	12:44:43	45:14:43	t at Max V [Read 2:600]
	58:39:43	13:49:43	20:59:43	11:39:43	60:37:13	67:14:43	9:23:10	43:49:43	Lagtime [Read 2:600]
C	-0.010	-0.030	-0.050	0.047	0.043	-0.010	2.643	-0.010	Max V [Read 2:600]
	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	R-Squared [Read 2:600]
	56:44:43	73:44:43	42:44:43	0:44:43	0:44:43	85:14:43	12:14:43	54:44:43	t at Max V [Read 2:600]
	53:49:43	75:03:03	43:45:43	0:29:43	0:29:43	84:29:43	9:25:24	54:09:43	Lagtime [Read 2:600]
D	-0.013	2.667	2.717	2.633	2.817	-0.010	2.613	-0.013	Max V [Read 2:600]
	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	R-Squared [Read 2:600]
	85:14:43	12:44:43	12:14:43	11:14:43	14:14:43	50:14:43	12:14:43	71:14:43	t at Max V [Read 2:600]
	82:07:13	9:56:41	9:56:15	8:36:15	10:03:37	49:09:43	9:34:48	68:22:13	Lagtime [Read 2:600]
E	-0.010	2.657	2.693	2.747	2.773	0.010	2.630	0.010	Max V [Read 2:600]
	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	R-Squared [Read 2:600]
	89:14:43	18:14:43	12:14:43	12:14:43	12:14:43	6:44:43	12:44:43	80:14:43	t at Max V [Read 2:600]
	85:49:43	11:41:23	9:39:49	9:37:02	9:36:54	6:39:43	9:44:01	82:49:43	Lagtime [Read 2:600]
F	-0.010	0.013	-0.010	-0.010	-0.010	-0.013	0.030	0.017	Max V [Read 2:600]
	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	R-Squared [Read 2:600]
	2:44:43	50:44:43	2:44:43	76:44:43	85:14:43	0:44:43	0:44:43	6:44:43	t at Max V [Read 2:600]
	2:59:43	52:22:13	2:29:43	74:09:43	81:49:43	0:29:43	0:29:43	6:53:43	Lagtime [Read 2:600]

